,,,,,,,
2,4,4,4,3,7,1344,"44,8"
LUGAR,ANTENNA,ENTRADA,SWITCH ORDER,TAG,ANGLE,DONE,
PINHAIS,1,1,2-2-0-5-6,A,0,,
PINHAIS,1,1,2-2-0-5-6,A,30,,
PINHAIS,1,1,2-2-0-5-6,A,60,,
PINHAIS,1,1,2-2-0-5-6,A,90,,
PINHAIS,1,1,2-2-0-5-6,A,120,,
PINHAIS,1,1,2-2-0-5-6,A,150,,
PINHAIS,1,1,2-2-0-5-6,A,180,,
PINHAIS,1,1,2-2-0-5-6,B,0,,
PINHAIS,1,1,2-2-0-5-6,B,30,,
PINHAIS,1,1,2-2-0-5-6,B,60,,
PINHAIS,1,1,2-2-0-5-6,B,90,,
PINHAIS,1,1,2-2-0-5-6,B,120,,
PINHAIS,1,1,2-2-0-5-6,B,150,,
PINHAIS,1,1,2-2-0-5-6,B,180,,
PINHAIS,1,1,2-2-0-5-6,C,0,,
PINHAIS,1,1,2-2-0-5-6,C,30,,
PINHAIS,1,1,2-2-0-5-6,C,60,,
PINHAIS,1,1,2-2-0-5-6,C,90,,
PINHAIS,1,1,2-2-0-5-6,C,120,,
PINHAIS,1,1,2-2-0-5-6,C,150,,
PINHAIS,1,1,2-2-0-5-6,C,180,,
PINHAIS,1,1,14-14-13-8-10,A,0,,
PINHAIS,1,1,14-14-13-8-10,A,30,,
PINHAIS,1,1,14-14-13-8-10,A,60,,
PINHAIS,1,1,14-14-13-8-10,A,90,,
PINHAIS,1,1,14-14-13-8-10,A,120,,
PINHAIS,1,1,14-14-13-8-10,A,150,,
PINHAIS,1,1,14-14-13-8-10,A,180,,
PINHAIS,1,1,14-14-13-8-10,B,0,,
PINHAIS,1,1,14-14-13-8-10,B,30,,
PINHAIS,1,1,14-14-13-8-10,B,60,,
PINHAIS,1,1,14-14-13-8-10,B,90,,
PINHAIS,1,1,14-14-13-8-10,B,120,,
PINHAIS,1,1,14-14-13-8-10,B,150,,
PINHAIS,1,1,14-14-13-8-10,B,180,,
PINHAIS,1,1,14-14-13-8-10,C,0,,
PINHAIS,1,1,14-14-13-8-10,C,30,,
PINHAIS,1,1,14-14-13-8-10,C,60,,
PINHAIS,1,1,14-14-13-8-10,C,90,,
PINHAIS,1,1,14-14-13-8-10,C,120,,
PINHAIS,1,1,14-14-13-8-10,C,150,,
PINHAIS,1,1,14-14-13-8-10,C,180,,
PINHAIS,2,2,2-2-0-5-6,A,0,,
PINHAIS,2,2,2-2-0-5-6,A,30,,
PINHAIS,2,2,2-2-0-5-6,A,60,,
PINHAIS,2,2,2-2-0-5-6,A,90,,
PINHAIS,2,2,2-2-0-5-6,A,120,,
PINHAIS,2,2,2-2-0-5-6,A,150,,
PINHAIS,2,2,2-2-0-5-6,A,180,,
PINHAIS,2,2,2-2-0-5-6,B,0,,
PINHAIS,2,2,2-2-0-5-6,B,30,,
PINHAIS,2,2,2-2-0-5-6,B,60,,
PINHAIS,2,2,2-2-0-5-6,B,90,,
PINHAIS,2,2,2-2-0-5-6,B,120,,
PINHAIS,2,2,2-2-0-5-6,B,150,,
PINHAIS,2,2,2-2-0-5-6,B,180,,
PINHAIS,2,2,2-2-0-5-6,C,0,,
PINHAIS,2,2,2-2-0-5-6,C,30,,
PINHAIS,2,2,2-2-0-5-6,C,60,,
PINHAIS,2,2,2-2-0-5-6,C,90,,
PINHAIS,2,2,2-2-0-5-6,C,120,,
PINHAIS,2,2,2-2-0-5-6,C,150,,
PINHAIS,2,2,2-2-0-5-6,C,180,,
PINHAIS,2,2,14-14-13-8-10,A,0,,
PINHAIS,2,2,14-14-13-8-10,A,30,,
PINHAIS,2,2,14-14-13-8-10,A,60,,
PINHAIS,2,2,14-14-13-8-10,A,90,,
PINHAIS,2,2,14-14-13-8-10,A,120,,
PINHAIS,2,2,14-14-13-8-10,A,150,,
PINHAIS,2,2,14-14-13-8-10,A,180,,
PINHAIS,2,2,14-14-13-8-10,B,0,,
PINHAIS,2,2,14-14-13-8-10,B,30,,
PINHAIS,2,2,14-14-13-8-10,B,60,,
PINHAIS,2,2,14-14-13-8-10,B,90,,
PINHAIS,2,2,14-14-13-8-10,B,120,,
PINHAIS,2,2,14-14-13-8-10,B,150,,
PINHAIS,2,2,14-14-13-8-10,B,180,,
PINHAIS,2,2,14-14-13-8-10,C,0,,
PINHAIS,2,2,14-14-13-8-10,C,30,,
PINHAIS,2,2,14-14-13-8-10,C,60,,
PINHAIS,2,2,14-14-13-8-10,C,90,,
PINHAIS,2,2,14-14-13-8-10,C,120,,
PINHAIS,2,2,14-14-13-8-10,C,150,,
PINHAIS,2,2,14-14-13-8-10,C,180,,
